Name,Type,RAJ2000,u_RAs,DEJ2000,u_DEs,GLON,GLAT,Pos,e_Pos,Opt,r_Opt,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,l_E_B-V_,E_B-V_,l_E_B-V_2,E_B-V_2,u_E_B-V_,r_Vmag,l_Fx,Fx,Fxu,Range,r_Fx,Porb,Porb2,u_Porb,Ppulse,u_Ppulse,r_Ppulse,Cat,SpType,Name2,u_Name2,Name3,BibCodes
J0059.2-7138,TUP,00 59 11.300,,-71 38 45.00,,302.1000061035156,-45.4,x,2.799999952316284,Be star,650,14.100000381469727,,,0.10999999940395355,,,,,0.029999999329447746,,,,650,,3.0,,(0.2-2 keV),299,,,,2.7632,,299,"R,E",B1IIIe,,,,"1994ApJ...427L..25H-Hughes,1996MNRAS.281L..63S-Southwell & Charles,"
J0101.0-7206,T,01 01 01.100,,-72 06 57.00,,301.8999938964844,-45.0,x,2.799999952316284,Be star,657,,,,,,,,,,,,,,,0.1,,,354,,,,,,,"R,E",Be,,,,"1996A&A...312..919K-Kahabka & Pietsch,"
J0103-722,P,01 03 13.900,,-72 09 14.00,,301.6000061035156,-44.9,o,0.10000000149011612,Be star,300,14.800000190734863,,,0.08900000154972076,,,,,0.23000000417232513,,,,"104,300",,0.01,0.1,(0.2-2 keV),"300,334",,,,345.2,,334,"R,A,B",O9-B1(III-V),J0103.2-7209,,,"2000ApJ...531L.131I-Israel et al.,1994AJ....107.1363H-Hughes & Smith,2000MNRAS.311..169C-Coe & Orosz,"
0103-762,T,01 09 06.100,,-74 44 40.00,,301.8999938964844,-41.1,o,,Be star,,17.0,,,,,,,,0.029999999329447746,,,,698,,2.3,,,781,,,,,,,"H,V,R",Be,0107-750,,,"1984ApJS...56..507W-Wood et al.,-Tuohy et al.                        1,"
J0105-722,TP,01 05 08.900,,-72 11 44.00,,301.3999938964844,-44.9,x,6.599999904632568,,203,,,,,,,,,,,,,,,0.1,,,203,,,,3.343,,789,"AS,R",,J0105.1-7211,,,"1998IAUC.7028Q...1Y-Yokogawa & Koyama,2000A&A...353..129F-Filipovic & Pietsch,"
J0106.2-7205,,01 06 15.100,,-72 05 25.00,,301.29998779296875,-45.0,x,15.0,Be star,300,16.700000762939453,,,,,,,,0.05000000074505806,,0.25,,300,,0.005,,(0.2-2 keV),300,,,,,,,R,B2-B5 III-Ve,,,,"1994AJ....107.1363H-Hughes & Smith,"
J0111.2-7317,TP,01 11 08.400,,-73 16 46.00,,301.0,-43.7,o,1.0,Be star,113,15.319999694824219,,,0.07999999821186066,,,,,,,,,113,,15.0,,,87,,,,31.0294,,86,"X,AS,C",B0-2III-Ve,,,,"2000MNRAS.314..290C-Coe et al.,1998IAUC.7048Q...1C-Chakrabarty et al.,1998IAUC.7062Q...1C-Chakrabarty et al.,"
0114+650,P,01 18 02.800,,+65 17 19.00,,125.69999694824219,2.6,o,3.0,V662 Cas,177,11.0,,,1.2000000476837158,,,0.10000000149011612,,1.399999976158142,,,,"3,148",,4.0,,,63,11.6,,,10008.0,,"148,210,785","A,S,X",B0.5Ib,,,LS I+65 010,"1990PASJ...42L..53Y-Yamauchi,1994ApJ...429..356F-Finley et al.,1983ARA&A..21...13B-Bradt & McClintock,1985ApJ...299..839C-Crampton et al.,1983PAZh....9..603A-Aab et al.,"
0115+634,TP,01 18 31.900,,+63 44 24.00,,125.9000015258789,1.0,o,,V635 Cas,347,14.5,16.299999237060547,,1.399999976158142,,,0.30000001192092896,,1.7000000476837158,,,,"345,473,513",<,2.0,350.0,,63,24.3,,,3.61,,"508,569","U,M,H,S,C,X",B0.2V,,,,"1978IAUC.3171....1J-Johns et al.,1998A&A...338..505N-Negueruela,1989PASJ...41....1N-Nagase,1978ApJ...224L...1R-Rappaport et al.,1983ARA&A..21...13B-Bradt & McClintock,1991MNRAS.250..373M-Mendelson & Mazeh,"
0115-737,P,01 17 05.200,,-73 26 35.00,,300.3999938964844,-43.6,o,3.0,Sk 160,609,13.300000190734863,,,-0.14000000059604645,,,-0.9800000190734863,,0.029999999329447746,,,,"312,753",,0.5,57.0,,63,3.89,,,0.71,,"508,566,623","U,M,A",B0Ib,SMC X-1,,,"-Webster et al.                      1,1972ApJ...178L..71S-Schreier et al.,1989PASJ...41....1N-Nagase,1977ApJ...217..543P-Primini et al.,1977ApJ...217..186H-Hutchings et al.,1983ARA&A..21...13B-Bradt & McClintock,"
J0117.6-7330,TP,01 17 41.400,,-73 30 49.00,,300.3999938964844,-43.5,x,0.6000000238418579,Be star,,14.1899995803833,,,-0.07000000029802322,,,,,0.029999999329447746,,,,"90,649",,10.0,,,439,,,,22.07,,439,"C,R",B0.5IIIe,,,,"1999PASA...16..147S-Soria,1996IAUC.6305R...1C-Charles et al.,1999ApJ...518L..99M-Macomb et al.,"
J0146.9+6121,,01 43 32.600,,+61 06 26.00,,129.1999969482422,-1.2,o,2.0,LS I+61 235,267,11.329999923706055,,,0.8199999928474426,,,-0.38999998569488525,,0.8700000047683716,,,,"143,410,579,640",,1.0,3.0,(0.1-2.4 keV),499,,,,1404.2,,254,"R,AS,X,B",B1Ve,,,,"1998A&A...335..587H-Haberl et al.,1978VatOP...1..257C-Coyne & Otten,1988NASAR1202....1L-Leisawitz,1985ApJS...59..769S-Slettebak,1997A&A...322..183R-Reig et al.,1991A&A...246L..24M-Motch et al.,"
0236+610,,02 40 31.600,,+61 13 45.00,,135.6999969482422,1.1,"o,r",,LS I+61 303,"70,267",10.699999809265137,,,0.800000011920929,,,-0.30000001192092896,,0.75,,,,"180,308,600",,0.2,,(0.2-5 keV),48,26.45,,,,,677,E,B0e,,,V615 Cas,"1975AJ.....80..128D-Drilling,1978IAUC.3210....1R-Rossiger,1981PASP...93..486H-Hutchings & Crampton,1982ApJ...255..210T-Taylor & Gregory,1981ApJ...247L..85B-Bignami et al.,"
0331+530,TP,03 34 59.900,,+53 10 23.00,,146.10000610351562,-2.2,o,,BQ Cam,381,15.100000381469727,15.399999618530273,,1.600000023841858,,2.299999952316284,,,1.899999976158142,,,,"128,290,513",<,0.5,1250.0,,"655,683",34.25,,,4.4,,"508,655,771","V,T,Exo",O8.5Ve,,,,"1998A&A...338..505N-Negueruela,1989PASJ...41....1N-Nagase,1989ApJ...344..371W-Whitlock et al.,1985PASP...97..300H-Honeycutt & Schlegel,1986A&A...162..117C-Corbet et al.,1984ApJ...285L..15T-Terrell & Priedhorsky,1985ApJ...288L..45S-Stella et al.,"
0352+309,P,03 55 23.000,,+31 02 45.00,,163.10000610351562,-17.1,o,,X Per,64,6.0,6.599999904632568,,0.28999999165534973,,,-0.8199999928474426,,0.4000000059604645,,,,"311,434,489,639",<,9.0,37.0,,63,580.0,,?,835.0,,"306,508","U,M,A,H,S",B0III-Ve,,,,"1997MNRAS.286..549L-Lyubimkov et al.,1982ApJS...50...55S-Slettebak,1975MNRAS.170..313H-Hutchings et al.,1989PASJ...41....1N-Nagase,1977MNRAS.181..619H-Hutchings,1973A&A....23..433M-Moffat et al.,1983ARA&A..21...13B-Bradt & McClintock,"
J0421+560,T,04 19 46.000,,+55 59 24.00,,149.1999969482422,4.1,x,50.0,CI Cam,,9.25,,,1.0,,,-0.4000000059604645,,0.800000011920929,,,,"100a,323",,2000.0,,,"40,523",,,,,,,"X,B,C,AS",--,,,,"1999ApJ...527..345B-Belloni et al.,2000A&A...356...50C-Clark et al.,1998IAUC.6871Q...1A-Hynes et al.,1998IAUC.6868Q...1O-Orlandini et al.,"
J0440.9+4431,P,04 40 59.900,,+44 31 51.00,,159.8000030517578,-1.3,x,17.0,BSD 24-491,142,10.779999732971191,,,0.6100000143051147,,,-0.36000001430511475,,,,,,500,,1.0,,,577,,,,202.5,,577,"R,X",B0V-IIIe,,,,"1999MNRAS.306...95R-Reig & Roche,1997A&A...323..853M-Motch et al.,"
J0501.6-7034,,05 01 23.900,,-70 33 33.00,,281.8999938964844,-34.5,x,2.9000000953674316,Be star,618,14.5,,,-0.07000000029802322,,,,,,,,,618,,,,,,,,,,,,"E,R",B0e,CAL 9,,,"1994PASP..106..843S-Schmidtke et al.,"
J0502.9-6626,TP,05 02 51.600,,-66 26 25.00,,277.0,-35.4,x,1.2000000476837158,Be star,618,14.220000267028809,,,-0.10000000149011612,,,,,,,,,617,,5.7,,,619,,,,4.0635,,619,"E, R",B0e,CAL E,,,"1995PASP..107..450S-Schmidtke et al.,-Schmidtke et al.                    1,"
J0512.6-6717,,05 12 41.800,,-67 17 23.00,,277.79998779296875,-34.3,x,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,
J0516.0-6916,T,05 16 00.100,,-69 16 09.00,,280.1000061035156,-33.6,x,7.300000190734863,star 2,141,15.0,,,-0.10000000149011612,,,-0.8999999761581421,,,,,,141,,0.07,,,141,,,,,,,R,B1e,,,,"1997PASP..109...21C-Cowley et al.,"
J0520.5-6932,T,05 20 30.300,,-69 32 04.00,,280.29998779296875,-33.2,x,16.600000381469727,Be star,618,14.399999618530273,,,,,,,,,,,,618,,,,,,,,,,,,R,O8e,,,,"1994PASP..106..843S-Schmidtke et al.,"
0521+373,,05 22 35.200,,+37 40 34.00,,170.0,0.7,o,,HD34921,646,7.510000228881836,,,0.14000000059604645,,,-0.8600000143051147,,0.41999998688697815,,,,"78,555,599",,1.0,,,"215, 781",,,,,,,"U,H",B0IVpe,,,SAO57950,"-Buscombe                            1,1990A&A...231..354P-Polcaro et al.,1991A&A...249L..19R-Rossi et al.,1978ApJS...38..357F-Forman et al.,"
J0529.8-6556,TP,05 29 48.400,,-65 56 51.00,,275.8999938964844,-32.9,x,8.0,GSC 8891.0213,253,,,,,,,,,,,,,253,,0.17,,,253,,,,69.5,,253,R,B2III-Ve,,,,"1997A&A...318..490H-Haberl et al.,"
053109-6609.2,TP,05 31 13.000,,-66 07 06.00,,276.20001220703125,-32.7,x,10.0,,,,,,,,,,,0.10000000149011612,,,,265,,1.0,,,265,25.4,,,13.7,,165,"Exo,SL,B,R",Be?,,,,"1989MNRAS.240p...1H-Hanson et al.,1995IAUC.6184....1D-Dennerl,"
J0531.5-6518,,05 31 36.100,,-65 18 16.00,,275.1000061035156,-32.7,x,18.799999237060547,,250,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,
0532-664,P,05 32 49.200,,-66 22 14.00,,276.29998779296875,-32.5,o,2.0,Sk-Ph,93,14.0,,,-0.10000000149011612,,,-1.100000023841858,,0.10000000149011612,,,,"280,365,431",<,3.0,60.0,,63,1.4,,,13.5,,"365,508","U,M,A,H,AS,G,R",O7III-V,LMC X-4,,,"1983ApJ...264..568K-Kelley et al.,1989PASJ...41....1N-Nagase,1983ARA&A..21...13B-Bradt & McClintock,1974ApJS...28...73L-Lucke,1977IAUC.3039....1H-Hiltner,"
J0532.4-6535,,05 32 25.300,,-65 35 09.00,,275.3999938964844,-32.6,x,17.399999618530273,RGC 36,,,,,,,,,,,,,,575,,0.01,,(0.1-2.4 keV),250,,,,,,,R,,,,,"1988MNRAS.232...53R-Reid et al.,1999A&A...344..521H-Haberl & Pietsch,"
J0532.5-6551,V,05 32 32.600,,-65 51 40.80,,275.70001220703125,-32.6,o,,Sk-65 66,609,12.300000190734863,,,,,,,,,,,,609,,0.03,,(0.1-2.4 keV),253,,,,,,,R,OB,,,,"1968AJ.....73..246S-Sanduleak,1997A&A...318..490H-Haberl et al.,"
J0535.0-6700,T,05 35 05.900,,-67 00 16.00,,277.1000061035156,-32.2,x,4.0,RGC 28,575,18.100000381469727,,,,,,,,,,,,575,,0.04,,(0.1-2.4 keV),250,241.0,,?,,,575,R,Be?,,,,"1988MNRAS.232...53R-Reid et al.,1999A&A...344..521H-Haberl & Pietsch,"
0535-668,PT,05 35 40.500,,-66 51 53.00,,276.8999938964844,-32.2,o,2.0,*Q,"89,350",12.300000190734863,14.899999618530273,,0.10000000149011612,,,-0.8999999761581421,,0.10000000149011612,,,,"89,167,431,528",<,0.01,180.0,,63,16.7,,,0.069,,"508,636",A,B2 III-Ve,0538-66,,,"1981A&A...102L...1P-Pakull & Parmar,1980Natur.288..141S-Skinner,1989PASJ...41....1N-Nagase,1983MNRAS.202..657C-Charles et al.,1983ARA&A..21...13B-Bradt & McClintock,1974ApJS...28...73L-Lucke,1983MNRAS.205.1117D-Densham et al.,"
