Name,Type,RAJ2000,u_RAs,DEJ2000,u_DEs,GLON,GLAT,Pos,e_Pos,Opt,r_Opt,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,l_E_B-V_,E_B-V_,l_E_B-V_2,E_B-V_2,u_E_B-V_,r_Vmag,l_Fx,Fx,Fxu,Range,r_Fx,Porb,Porb2,u_Porb,Ppulse,u_Ppulse,r_Ppulse,Cat,SpType,Name2,u_Name2,Name3,BibCodes
1803-245,T,18 06 50.200,,-24 35 15.00,,6.099999904632568,-1.9,x,30.0,,634,,,,,,,,,,,,,,<,2.0,1000.0,,230,,,,,,,S,,,,,"1978ApJ...224...46C-Cominsky, L. et al.,"
J1806-246,TB(?)A,18 06 51.000,,-24 35 06.00,:,6.139999866485596,-1.9,x,90.0,,,,,,,,,,,,,,,,,440.0,,(2-12 keV),826,,,,,,,X,,,,,"1998IAUC.6891Q...1M-Marshall, F.E. et al.,"
J1808.4-3658,TPB,18 08 27.540,,-36 58 44.30,,355.3999938964844,-8.14,o,0.800000011920929,,420,16.600000381469727,,,,,,,,,,,,"420,1097",,110.0,,,420,2.014167,,,0.00249,,"162,1425","B,X",,J1808-369,,,"1999MNRAS.304...47G-Giles, A.B. et al.,1998Natur.394..344W-Wijnands, R. & van der Klis M.,1998IAUC.6885Q...1R-Roche, P. et al.,1998Natur.394..346C-Chakrabarty, D. & Morgan, H,"
J1810.8-2609,TB,18 10 44.500,,-26 09 01.00,,5.199999809265137,-3.4,x,10.0,,461,,,,,,,,,,,,,461,,16.0,,,1307,,,,,,,"B,R",,J1810.7-2609,,,"2000IAUC.7369Q...1W-Ubertini, P. et al.,1999MNRAS.308L..17G-Greiner, J. et al.,"
1811-171,AB,18 14 31.100,,-17 09 26.00,,13.5,0.1,"r,IR",,IR star,"328,447,952",,,,,,,,,5.699999809265137,,,,167,,350.0,,,"1399,1448",592.8,,,,,241,"U,M,A,H,S,X",,GX13+1,,,"1984ApJS...56..507W-Wood, K.S. et al.,1981MNRAS.197..865W-Warwick, R.S. et al.,1992MNRAS.255p...6C-Charles, P.A. & Naylor, T.,1996IAUC.6508Q...1L-Corbet, R. et al.,"
1812-12,B,18 15 12.000,:,-12 05 00.00,:,18.100000381469727,2.3,x,720.0,,,,,,,,,,,,,,,,,15.0,,,"1399,1448",,,,,,,"M,A,H,B",,,,,"1981MNRAS.197..865W-Warwick, R.S. et al.,1984ApJS...56..507W-Wood, K.S. et al.,"
1813-140,ZB,18 16 01.400,,-14 02 11.00,,16.399999618530273,1.3,o,,NP Ser,"328,447,952",17.5,,,1.2999999523162842,,,1.0,,2.5,,,:,"807,1131,1254",,700.0,,,1399,,,,,,,"U,M,A,H,S,Exo",,GX17+2,,,"1989A&A...225...48S-Schulz, N.S. et al.,1986MNRAS.222..499S-Sztajno, M. et al.,1981MNRAS.197..865W-Warwick, R.S. et al.,1978ApJ...219..613M-Margon, B.,"
J1819.3-2525,T,18 19 21.480,,-25 25 36.00,,6.75,-4.79,o,0.699999988079071,V4641 Sgr,436,8.800000190734863,13.5,,,,,,,0.23999999463558197,,,,"1224,1388",,1.0,13000.0,(2-12 keV),1189,,,,,,,"B,X",,J1819-254,,,"1999IAUC.7253Q...1S-Smith, D.A. et al.,1999IAUC.7253Q...1S-Stubbings, R.,1999IAUC.7276Q...1G-Wagner, R.M.,"
1820-303,GBA,18 23 40.600,,-30 21 41.00,,2.799999952316284,-7.9,x,3.0,NGC 6624,475,,,,,,,,,0.30000001192092896,,,,"674,1317",,250.0,,,"1366,1399",0.19,,,,,1213,"U,M,A,H,S,X,B,R",,,,,"1986MNRAS.220..339V-Vacca, W.D. et al.,1981MNRAS.197..865W-Warwick, R.S. et al.,1993ApJ...413L.117K-King, I.R. et al.,1984MNRAS.210..899V-Verbunt, F. et al.,1987ApJ...312L..17S-Stella, L. et al.,"
1822-371,D,18 25 46.800,,-37 06 19.00,,356.8999938964844,-11.3,o,,V691 CrA,463,15.300000190734863,16.299999237060547,,0.10000000149011612,,,-0.8999999761581421,,0.15000000596046448,,,,"840,841,842",,10.0,25.0,,"872,1448",5.57,,,,,"842,1415","U,M,A,H,B",,,,,"1981ApJ...247..994W-White, N.E. et al.,1982ApJ...255..603M-Mason, K.O. & Cordova, F.A.,1984ApJS...56..507W-Wood, K.S. et al.,1980ApJ...242L.109M-Mason, K.O. et al.,1981MNRAS.197..893M-McHardy, I.M. et al.,1982ApJ...262..253M-Mason, K.O. & Cordova, F.A.,"
1822-000,,18 25 22.100,,-00 00 44.00,,29.899999618530273,5.8,x,3.0,star,"195,447",22.0,,,1.0,:,,,,1.2999999523162842,,,,"191,527",,25.0,62.0,,103,,,,,,,"U,M,A,H,S",,,,,"1992Priv.Comm.....C-Chevalier, C. & Ilovaisky, .A.      *,1984ApJ...282..118H-Hertz, P. & Grindlay, J.E.,1983ARA&A..21...13B-Bradt, H.V. & McClintock, JE.,"
1826-238,TB,18 29 27.000,,-23 47 29.00,,9.300000190734863,-6.0,x,54.0,,930,19.0,,,0.4000000059604645,,,-0.5,,,,,,930,,30.0,,,"611,793",,,,,,,"G,B,X",,,,,"1988IAUC.4653.....M-Makino, F. & the Ginga Team,1994IAUC.6101....1M-Motch, C. et al.,...................-in't Zand, J.J.M. et al.            *,"
1832-330,GB,18 35 44.000,,-32 58 55.00,,1.5,-11.4,x,60.0,NGC 6652,,,,,,,,,,0.10000000149011612,,,,1405,,8.0,,(0.5-2 keV),1052,,,,,,,"R,X,AS",,,,,"1991A&A...246L..21P-Predehl, P. et al.,...................-Webbink, R.F.                       *,"
1837+049,B,18 39 57.500,,+05 02 09.00,,36.099998474121094,4.8,o,,MM Ser,"447,1285",,,,,,,-0.5,,0.03999999910593033,>=,0.4000000059604645,,"1142,1285",,225.0,,,"1059,1399",,,,,,,"U,M,A,H,S",,Ser X-1,,*DS,"1981MNRAS.197..865W-Warwick, R.S. et al.,1980ApJ...238..964T-Thorstensen, J.R. et al.,1996MNRAS.282.1437S-Shahbaz, T. et al.,1984ApJ...280..661P-Priedhorsky, W. & Terrell, .,"
1846-031,TU,18 49 17.100,,-03 03 44.00,,29.899999618530273,-0.9,x,15.0,,1002,,,,,,,,,,,,,,,300.0,,,1002,,,,,,,Exo,,,,,"1993A&A...279..179P-Parmar, A.N. et al.,"
1850-087,GB,18 53 04.900,,-08 42 20.00,,25.399999618530273,-4.3,o,,NGC 6712,"21,263,447",21.0,,,0.20000000298023224,,,-0.8999999761581421,,0.41999998688697815,,,,"263,956",,7.0,,,"999,1366,1399",0.343,,?,,,580,"U,A,H,S,B",,,,star,"1996MNRAS.282L..37H-Homer, L. et al.,1988AJ.....96..105C-Cudworth, K.M.,1989A&A...222...96P-Parmar, A.N. et al.,1981MNRAS.197..865W-Warwick, R.S. et al.,1984MNRAS.210..899V-Verbunt, F. et al.,1990A&A...239..155N-Nieto, J.L. et al.,"
J1856+053,T,18 56 39.000,,+05 19 48.00,:,38.27000045776367,1.26,x,108.0,,,,,,,,,,,,,,,,,70.0,,,824,,,,,,,"X,C",,,,,"1996IAUC.6504Q...1R-Marshall, F.E. et al.,"
J1859+226,T,18 58 41.580,,+22 39 29.40,,54.04999923706055,8.59,o,0.5,,412,15.3100004196167,15.75,,0.3400000035762787,,,-0.6499999761581421,,0.5799999833106995,,0.800000011920929,,"176,596,961,1394",,600.0,,,281,,,,,,,"X,C,B",,,,,"1999IAUC.7291Q...1M-Dal Fiume, D. et al.,1999IAUC.7294Q...1L-Hynes, R.I. et al.,1999IAUC.7284Q...1C-Chaty, S. et al.,1999IAUC.7279Q...1W-Wagner, R.M. et al.,1999IAUC.7279Q...1W-Norton, A.J. et al.,"
1905+000,B,19 08 27.000,,+00 10 08.00,,35.0,3.7,x,5.0,star,"194,447",20.5,,,0.5,,,-0.5,,0.5,,,,194,,10.0,,,"188,1399",,,,,,,"U,A,H,S",,,,,"1981MNRAS.197..865W-Warwick, R.S. et al.,1985A&A...147L...3C-Chevalier, C. et al.,1990A&A...228..115C-Chevalier, C. & Ilovaisky, .A.,"
1908+005,TBA,19 11 16.000,,+00 35 06.00,,35.70000076293945,-4.1,o,,V1333 Aql,"447,1283",14.800000190734863,,,0.6000000238418579,,,-0.4000000059604645,,0.4000000059604645,,,,"169,191,1283",<,0.1,1300.0,,"103,1350",19.0,,,,,190,"U,M,A,S,X,C,G",,Aql X-1,,,"1991A&A...251L..11C-Chevalier, C. & Ilovaisky, .A.,1983ARA&A..21...13B-Bradt, H.V. & McClintock, JE.,1987A&A...182...47V-van Paradijs, J. et al.,1978ApJ...220L.131T-Thorstensen, J.R. et al.,1980ApJ...237..154C-Charles, P.A. et al.,1992Priv.Comm.....C-Chevalier, C. & Ilovaisky, .A.      *,"
1915+105,TB,19 15 17.000,,+10 58 06.00,:,45.29999923706055,-0.9,x,180.0,,87,,,,,,,,,9.600000381469727,,,,87,,300.0,,,243,,,,,,,"Gr,B,X,C,I,AS",,,,,"...................-Cordier, B. et al.                  *,1996A&A...305..835B-Boeer, M. et al.,"
